content,discuss,id,share,support,time
"#迪丽热巴 蓝色人鱼裙#粉丝给我停止千篇一律的“期待迪丽热巴”“热巴好美啊”“迪丽热巴身材好好啊！”的这种控评行为！！我还不知道她美吗？？？我还不知道她身材好吗！都给我闪开让老娘来夸！！她是人吗她不是！她就是深海浓雾里唱着古语歌的塞壬！她就是月光下缓缓出水在波光粼粼的海面上迷惑普 ??  展开全文c                
                    #迪丽热巴 蓝色人鱼裙#粉丝给我停止千篇一律的“期待迪丽热巴”“热巴好美啊”“迪丽热巴身材好好啊！”的这种控评行为！！我还不知道她美吗？？？我还不知道她身材好吗！都给我闪开让老娘来夸！！她是人吗她不是！她就是深海浓雾里唱着古语歌的塞壬！她就是月光下缓缓出水在波光粼粼的海面上迷惑普罗大众的绝美人鱼！她就是神秘空灵从迷雾海域走出的远古精灵！爱丽丝们！你们的控评文案被姐的美貌甩下去了！ 就知道啊啊啊啊啊啊啊啊！ 收起全文d",74,胖丁今年两岁啦-,25,234,10分钟前
娜扎、迪丽热巴cosmo造型，你更喜欢谁？ 你更喜欢谁？ ??,133,吃瓜鹅小组爆料,59,9606,47分钟前
#迪丽热巴 蓝色人鱼裙# 啊啊啊热巴的蓝色人鱼裙太美了吧！身材玲珑有致，太有女神范儿了～ ??,53,泡剧少女,73,180,56分钟前
分享@Dear-迪丽热巴 的@绿洲 动态:满满的正能量！ 晚上一定会很冷…一定超级冷…红毯上还要装作岁月静好我很适应的样子...O绿洲#迪丽热巴白凤九##MIKIMOTO亚洲代言人迪丽热巴#迪丽热巴 ??,465,Dear迪丽热巴后援会,624,4697,今天13:44
#cosmo时尚盛典#演员之路她初心不负，步伐坚定，演绎一段段角色人生，“想留下一些经典的东西，这是我的梦想”。镁光灯下她抓住生活，从细枝末节处感受真实，在时尚潮流中传递对经典的态度，让生活变得讲究。期待#迪丽热巴# 在COSMO时尚美丽盛典的时尚力绽放??@Dear-迪丽热巴 ??,17,热巴的超级迷妹,7,230,今天17:15
#生图即精修系列# 提名迪丽热巴！生图真的绝了！美貌动人，令人过目不忘！@Dear-迪丽热巴 #迪丽热巴swisse品牌代言人# ??,193,a帥比姚,92,3232,11月29日 12:25
迪丽热巴继续控???? 速度切号???? 捞五条自家???? 咱们今晚努力超越自我，破自己的记录???? 加油???? 官博O网页链接  目标1w+完成任务带话题扩散@Dear-迪丽热巴 ??,357,迪迪卫控评小管家,88,135,今天16:18
#你做过最甜的梦是什么# ??#爱豆最出圈的瞬间#迪丽热巴生日会的这段舞蹈火遍各大平台，好多人模仿，在梦里能梦到热巴那是所有人最甜的梦@Dear-迪丽热巴 L娱乐爆料bot的微博视频 ??,135,娱乐爆料bot,137,447,今天11:34
迪丽热巴 | 迪丽热巴COSMO盛典，迪丽热巴身穿Jenny Packham 2020春夏系列亮相Cosmo盛典，精致亮片裙衬托迷人身姿#迪丽热巴 蓝色人鱼裙# ??,59,CoverFigaroX,11,238,25分钟前
#迪丽热巴 蓝色人鱼裙# 今天参加COSMO的红毯造型，姐姐状态太棒了! ??,640,布加迪迪畏,605,4260,48分钟前
镜里镜外的迪丽热巴，每一面都是美颜暴力～迪丽热巴气质太可了@Dear-迪丽热巴 ??????,290,教父娱乐,272,2671,11月30日 16:15
#cosmo时尚盛典# #迪丽热巴 蓝色人鱼裙#感谢时尚COSMO的盛情邀请。与迪丽热巴一起感受时尚与传承的力量，感受温柔的力量。在一开一关中，探索有志生活，去发现生活的好玩，发现更多碰撞与交融的惊喜，不断感受这个新青年新世界的独一无二@Dear-迪丽热巴 ??,2835,喜欢傲娇迪,1482,49578,今天17:03
#COSMO时尚美丽盛典# 【COSMO传承号】@迪丽热巴 在雨中路过了春天，于是整个春天都变得明艳动人#时尚即传承# 视频制作：有点时髦 @有点儿时髦导演：江唯顺 @江唯顺  L时尚COSMO的微博视频 ??,10239,时尚COSMO,35256,51819,今天18:36
#迪丽热巴 蓝色人鱼裙# #O网页链接# x Cosmo 红毯美??@Dear-迪丽热巴 cr logo ??,1381,喜十二_,1359,10990,今天18:59
#迪丽热巴 蓝色人鱼裙##cosmo时尚盛典# 迪丽热巴今晚一袭蓝色曳地礼裙，搭配耀眼的配饰，在COSMO美丽时尚盛典上，眼波流转，夺人眼目，令人念念不忘@Dear-迪丽热巴 ??,671,喜欢傲娇迪,409,1023,38分钟前
#COSMO时尚美丽盛典# ??#时尚即传承# 【360度红毯时刻】红唇与蓝色渐变裙，加上@Dear-迪丽热巴 是我心动的充分必要条件 ??,677,SOCOSMO,496,5233,50分钟前
#你觉得最好听的名字# 必须是迪丽热巴.迪力木拉提??心爱的美人~名字和人一样温柔@Dear-迪丽热巴 #迪丽热巴代言娇韵诗# ??,26,a帥比姚,8,303,今天08:50
#COSMO时尚盛典# 迪丽热巴cut，一身蓝色曳地礼裙，蓝色美人鱼来啦，身材太好了，精灵女王，偶尔会看粉丝评论，偶尔翻牌，期待三生三世枕上书和电影日月早日见面啊 L芒果捞新剧的微博视频 ??,113,芒果捞新剧,108,589,今天18:55
2019#COSMO时尚美丽盛典# 相约上海，与蔡徐坤、摩登兄弟刘宇宁、肖战、刘诗诗、Angelababy、迪丽热巴、孟美岐、林彦俊、赖冠霖（排名不分先后），一起见证#时尚即传承#的闪耀时刻！今晚，你为谁而来？ ??,417,绿豆娱乐,75,13029,今天17:09
迪丽热巴 咦，雨中的美人鱼遇见了雨中的眼镜迪#TheFashionista时髦范儿# 时刻保持时髦范儿！#迪丽热巴 蓝色人鱼裙# ??,106,QINA亓那眼镜,24,478,22分钟前
#迪丽热巴红裙# 红裙飘逸的@Dear-迪丽热巴 ，你爱了吗？ ??,615,新浪综艺,179,4170,12月01日 09:47
迪丽热巴红毯  #cosmo时尚盛典##迪丽热巴 蓝色人鱼裙# 优雅知性的女神，美到发光的仙女！#迪丽热巴三生三世枕上书# L芒果影音的微博视频 ??,206,芒果影音,90,1330,今天18:51
我为迪丽热巴贡献1460影响力，超话目前还差116842影响力超越上一名！戳这里→O网页链接 ~跟我一起打榜应援爱豆提升排名吧~ ??,242,护舒宝,25,623,今天17:11
迪丽热巴 ｜#迪丽热巴白凤九# 迪丽热巴vs 镜子里迪丽热巴 挡不住的美颜@Dear-迪丽热巴 ??,654,芒果之家,236,3662,11月30日 12:04
我的妈呀，我现在才发现热巴唱到“因为你有梦可做”的时候手指着我们每次看每一个视频都会觉得感动。@Dear-迪丽热巴 L锣鼓敲不如大旗飘的微博视频 ??,30,锣鼓敲不如大旗飘,35,301,今天13:07
#贝雷帽到底有多难戴# 我觉着颜值高的人戴什么穿什么都特好看！看看迪丽热巴戴的贝雷帽！就挺不错的@Dear-迪丽热巴 #迪丽热巴代言娇韵诗# ??,146,a帥比姚,59,1662,12月01日 09:11
#cosmo时尚盛典##迪丽热巴 蓝色人鱼裙# 演员之路她初心不负，步伐坚定，演绎一段段角色人生，“想留下一些经典的东西，这是我的梦想”。镁光灯下她抓住生活，从细枝末节处感受真实，在时尚潮流中传递对经典的态度，让生活变得讲究。期待@Dear-迪丽热巴 在COSMO时尚美丽盛典的时尚力绽放。 ??,116,月-半-迪,34,1611,今天17:19
#cosmo时尚盛典# #迪丽热巴# 蓝色曳地礼裙亮相风姿绰约，身材凹凸有致颜值万点暴击！#迪丽热巴 蓝色人鱼裙# L芒果台女汉子的秒拍视频 ??,11,芒果台女汉子,7,157,55分钟前
今日份cosmo美丽盛典新疆两美，迪丽热巴精修图VS古力娜扎精修图，来看看哪个造型更惊艳？ ???????? 来选 ??,163,嗑瓜子每日专用,34,9958,今天18:40
#迪丽热巴 蓝色人鱼裙#啊啊啊啊啊啊啊今晚小姐姐就是人鱼公主，我不管，太美了 ?? ??,240,FashionWear,217,1297,52分钟前
移不开眼 #迪丽热巴 蓝色人鱼裙# ??,709,根正苗红好颜狗,907,7316,42分钟前
#迪丽热巴 蓝色人鱼裙# #cosmo时尚盛典#迪丽热巴cosmo时尚盛典红毯cut~一袭蓝色曳地人鱼礼裙尽显优雅真的吼吼看！热巴： 偶尔会看粉丝评论，《三生三世枕上书》还有电影希望尽快和大家见面@Dear-迪丽热巴 L圈内教父的微博视频 ??,189,圈内教父,142,915,今天18:52
#迪丽热巴 蓝色人鱼裙#  热巴今日出席Cosmo时尚盛典造型，一袭渐变蓝色亮片长裙绚丽美艳，波光粼粼没有礼服大拖尾，但已足够耀眼。?? ??,163,全球时尚,53,2295,今天18:28
#2020年你会有什么#会有爱情和面包还有个迪丽热巴 ??,177,布加迪迪畏,277,1158,12月02日 22:17
关晓彤与迪丽热巴黑皮裙同框，谁的腰细一目了然 ??,305,娱乐蜀黍,173,1441,12月02日 13:31
#最适合公布恋情的文案#??一生热爱，步履不停 迪丽热巴@Dear-迪丽热巴 ??,1027,喜欢傲娇迪,1010,13037,12月02日 13:10
90后小花的角色也有很多深入人心的哦《克拉恋人》迪丽热巴的高雯《微微一笑很倾城》郑爽的贝微微你当时看了哪部剧呢？ 你当时看了哪部剧呢～ ??,87,渡边小鲜肉,124,9334,12月02日 14:04
#2019年最后悔的事#应该就是没有去参加迪丽热巴的生日会 ??,278,布加迪迪畏,373,2075,12月01日 18:41
#O网页链接##迪丽热巴 蓝色人鱼裙#热巴是仙女吧！美到发光 颜值身材绝了！ ??,847,扒圈小猪,408,10623,55分钟前
迪丽热巴蓝身着Jenny Packham 蓝色曳地礼裙亮相， #迪丽热巴 蓝色人鱼裙#美到发光的人鱼，明艳动人 ??,245,Vividly_S,133,2207,今天18:53
#cosmo时尚盛典#古力娜扎和迪丽热巴同台了，之前两人一直被拿来比较，今晚红毯争艳，大家觉得谁的造型和状态更好呢？ 迪丽热巴vs古力娜扎，谁赢了？ ??,349,圈内老鬼,190,13803,57分钟前
#迪丽热巴 蓝色人鱼裙#感谢cosmo的邀请！一袭蓝色曳地礼裙像极了美人鱼！迪丽热巴每次一出山，都散发出耀眼的光芒！@Dear-迪丽热巴 #cosmo时尚盛典# ??,243,a帥比姚,109,2269,49分钟前
迪丽热巴小汇总继续控????往下捞五条????腿脚跑快一点????上赞速度破纪录了，总赞数也可以努力一下????加油??官博O网页链接  目标1.8w+ 前十占三鹅O网页链接  目标1.5w+ 前十占三点赞自家完成任务带话题扩散@Dear-迪丽热巴 ??,590,迪迪卫控评小管家,168,297,今天17:31
迪丽热巴 一袭红裙惊艳了时光，温婉流转令人沉醉！@Dear-迪丽热巴 ??,1164,腾讯视频,210,4427,12月01日 11:59
私服街拍 圣诞·元旦超应景红色特辑????????依次为林允儿、林允儿、郑秀晶、虞书欣、Lisa、刘诗诗、迪丽热巴、郑秀妍、杨幂 ??,120,私服街拍,32,2312,今天11:49
迪丽热巴身着天蓝色渐变深V吊带长裙亮相，是性感迷人的美人鱼了！ ??,142,前线娱乐,141,697,今天18:28
迪丽热巴 12月行程图来啦！红衣飘逸，俏皮洋溢的小热巴@Dear-迪丽热巴 是银装素裹的末月中最靓丽的一道风景 ??,3661,嘉行迪丽热巴工作室,1908,43808,12月01日 09:03
哈哈哈哈小学生写作文《#我和迪丽热巴过一天#》，做梦梦到自己是迪丽热巴的小助理，现在的小学生好会哦！ ??,601,追星蜀黍,474,4209,12月02日 18:56
迪丽热巴蓝色亮片裙 哪里来的人鱼公主？ ??,102,饭圈阿姨,101,364,今天18:19
#迪丽热巴 蓝色人鱼裙# 迪丽热巴 x 时尚COSMO美丽盛典｜蓝色亮片吊带裙闪闪发光，犹如美人鱼一般闪耀璀璨亮眼夺目。 ??,347,FashionWeek,139,1289,今天18:44
#最能hold住日系风的人#迪丽热巴这个话题必须要有迪丽热巴，这涛图绝了@Dear-迪丽热巴 ??,316,喜欢傲娇迪,169,4164,11月29日 10:58
男演员不愿意与迪丽热巴拍亲热戏，周渝民道出原因？原来鹿晗没说谎 ??,203,娱乐蜀黍,151,849,12月01日 22:30
COSMO时尚盛典：刘诗诗 蔡徐坤 肖战 林彦俊 朱正廷 赖冠霖 r1se 王晨艺 摩登兄弟刘宇宁 周冬雨 迪丽热巴 许魏洲 孟美岐 yamy 杨芸晴 郑云龙 阿云嘎 宋茜 胡一天 杨颖 倪妮 井柏然 姚晨 黄轩 吴磊 林允 魏大勋 古力娜扎 陈都灵 颖儿 宋祖儿 李小冉等！你最期待谁？[米奇比心] ??,583,芒果影视台,66,6763,12月02日 16:13
2019#COSMO时尚美丽盛典# #迪丽热巴 蓝色人鱼裙# 仿佛所有的华丽词藻都不足以形容你的美。 @Dear-迪丽热巴 L一直播的微博视频 ??,79,一直播,47,528,今天18:56
#你觉得最好听的名字#迪丽热巴·迪力木拉提（ 心爱的美人·梦想成真） ??,1154,喜欢傲娇迪,1025,14229,12月02日 22:47
2019#COSMO时尚美丽盛典##时尚即传承# 今天上海有点凉，@Dear-迪丽热巴 被吹成迪丽冷巴 ??,2183,时尚COSMO,23457,23731,31分钟前
#迪丽热巴 蓝色人鱼裙#cosmo时尚盛典期待迪丽热巴漂漂亮亮的出现！！！@Dear-迪丽热巴 #cosmo时尚盛典# LSOCOSMO的酷燃视频 ??,49,a帥比姚,30,759,今天16:49
#爱豆最出圈的瞬间# 迪丽热巴美貌出圈当然！咱们也有沙雕表情包出圈的哈哈哈哈哈哈哈哈@Dear-迪丽热巴 #迪丽热巴代言娇韵诗# ??,321,a帥比姚,156,6963,今天10:16
迪丽热巴 #迪丽热巴 蓝色人鱼裙# “掉落人间是个意外，唯一区别是沦为尘埃或变成星星”??@Dear-迪丽热巴 ??,259,Duet0603丨迪丽热巴,373,928,19分钟前
迪丽热巴  时尚美丽盛典红毯迪丽热巴：期待三生三世早点和大家见面芒果娱乐 L芒果娱乐的微博视频 ??,492,芒果娱乐,494,3216,今天18:51
#迪丽热巴 蓝色人鱼裙# @Dear-迪丽热巴 蓝色曳地礼裙！美到发光的人鱼，明艳动人～#cosmo时尚盛典# ??,89,腾讯综艺,20,466,34分钟前
#迪丽热巴 蓝色人鱼裙#迪丽热巴今晚造型?? 深海里的漂亮人鱼，姐绝勒?? ??,178,娱乐潮流,179,1043,52分钟前
#迪丽热巴 蓝色人鱼裙# 迪丽热巴今日出席COSMO时尚盛典造型。深海人鱼裙衬托婀娜曲线，水钻配饰展现典雅气息，蓝色妖姬，星光熠熠。 ??,189,全球潮流街拍,364,1771,今天18:25
#迪丽热巴 蓝色人鱼裙#我们热巴这套裙子也太仙了吧！！OMG真的太好看了！给我夸 ??,243,娱九叔,231,1700,47分钟前
可爱阿楠 晚安#迪丽热巴白凤九##MIKIMOTO亚洲代言人迪丽热巴#迪丽热巴 ??,50,wnqqwwb-,20,405,12月02日 01:28
跟#任世豪# 谈恋爱女生的正面照来了！是同公司的小怡同学，长相酷似迪丽热巴，并不是01年的sona（图3）！两人还有高清接吻照，胆子真大啊，上升期谈恋爱。 ??,449,娱乐揭秘蜀黍,200,4016,12月01日 22:56
#世间罕见的美人骨# 迪丽热巴 dlrb迪丽热巴的美人骨！巴姐锁骨可以游泳了@Dear-迪丽热巴 #迪丽热巴代言娇韵诗# ??,28,a帥比姚,26,672,11月30日 14:38
"#迪丽热巴Swisse品牌代言人##迪丽热巴代言娇韵诗# 麻烦在官博下面评论其他艺人相关博的朋友们都删一下行吗？都顶着迪字头像跑别人下面只会膈应到别人的粉丝啊不要顶着我们的头像去ky。。。最后一天了互动也没用了啊??????♂?? 互动都是延迟显示的，现在临时抱佛脚没有意义劳烦  专注自家? ??  展开全文c                
                    #迪丽热巴Swisse品牌代言人##迪丽热巴代言娇韵诗# 麻烦在官博下面评论其他艺人相关博的朋友们都删一下行吗？都顶着迪字头像跑别人下面只会膈应到别人的粉丝啊不要顶着我们的头像去ky。。。最后一天了互动也没用了啊??????♂?? 互动都是延迟显示的，现在临时抱佛脚没有意义劳烦  专注自家??????♂?? 收起全文d",159,猫中最萌小胖虎爱追剧,13,268,今天17:55
迪丽热巴 ｜#迪丽热巴白凤九#红衣飘逸，俏皮洋溢的小热巴来袭 期待十二月行程@Dear-迪丽热巴 ??,561,芒果之家,181,1948,12月01日 09:23
#迪丽热巴 蓝色人鱼裙# 迪丽热巴这套蓝色人鱼裙太好看了吧生图和精修图差别大吗？ ??,246,八哥,231,2117,53分钟前
#迪丽热巴 蓝色人鱼裙#  迪丽热巴cosmo红毯造型太美了，像一只蓝色美人鱼。@Dear-迪丽热巴 ：《三生三世枕上书》和《日月》希望尽快和大家见面。#cosmo时尚盛典# L沸点娱乐的微博视频 ??,310,沸点娱乐,114,2928,今天18:51
#迪丽热巴 蓝色人鱼裙# 迪丽热巴身着一袭蓝色曳地礼裙，蓝色美人鱼的即视感，美到发光。期待一会精彩亮相@Dear-迪丽热巴 #cosmo时尚盛典# ??,242,教父娱乐,228,1016,今天18:27
#迪丽热巴 蓝色人鱼裙# 迪丽热巴身着一袭蓝色曳地礼服优雅亮相2019#COSMO时尚美丽盛典#，热巴的蓝色美人鱼造型太美了，被小姐姐迷住了~ #迪丽热巴身材#简直是万人迷本尊了~ ??,217,最时尚,345,688,24分钟前
迪丽热巴美到我了 ??,184,我有葯阿,82,690,今天18:49
#贝雷帽到底有多难戴#贝雷帽带的是否好看主要还是看颜值吧，康康迪丽热巴带贝雷帽多出众@Dear-迪丽热巴 ??,1122,猫不十,459,37268,12月01日 09:01
#爱豆最出圈的瞬间# 迪丽热巴的每一个瞬间，用脸鲨人了解一下 迪丽热巴的五官太优越啦~#迪丽热巴白凤九# L追星阿喵喵的微博视频 ??,597,追星阿喵喵,439,1323,今天11:03
#张柏芝学生时期证件照#女星证件照大合集，张柏芝、杨幂、赵丽颖、刘亦菲、刘诗诗、倪妮、迪丽热巴、唐嫣、景甜、宋茜、杨紫、欧阳娜娜、孟美岐、吴宣仪、杨超越、沈月、陈都灵，来品品谁是你心目中的证件照杀手！ ??,227,娱婆,121,2634,今天15:38
迪丽热巴 / 这套蓝色礼服真的很有冰雪女王的感觉！???? ??,251,揽青池,516,1963,今天18:57
今日份cosmo美丽盛典新疆两美，迪丽热巴精修图和娜扎工作室精修图，谁的造型更惊艳呢？ 谁的造型更惊艳？ ??,130,扒星君,115,3182,今天18:40
迪丽热巴今晚时尚COSMO美丽盛典红毯造型，身着Jenny Peckham 2020春夏系列蓝色曳地礼裙亮相，典雅璀璨，太美啦~ #迪丽热巴 蓝色人鱼裙# ??,34,idollook,7,245,今天18:27
"#新剧资讯#  昨日待播剧景气指数Top20，你期待哪部？官鸿、张艺上《玉昭令》杨紫、肖战《余生请多指教》杨紫、吴亦凡《青簪行》罗云熙、白鹿《半是蜜糖半是伤》李现、李一桐《剑王朝》王凯、江疏影《孤城闭》朱一龙、刘诗诗《亲爱的自己》赵丽颖、王一博《有翡》杨超越、徐开骋、傅菁《 ??  展开全文c                
                    #新剧资讯#  昨日待播剧景气指数Top20，你期待哪部？官鸿、张艺上《玉昭令》杨紫、肖战《余生请多指教》杨紫、吴亦凡《青簪行》罗云熙、白鹿《半是蜜糖半是伤》李现、李一桐《剑王朝》王凯、江疏影《孤城闭》朱一龙、刘诗诗《亲爱的自己》赵丽颖、王一博《有翡》杨超越、徐开骋、傅菁《神医凰后》沈月、言承旭《交换吧运气》景甜、张彬彬《司腾》迪丽热巴、高伟光《三生三世枕上书》王大陆、李沁、肖战《狼殿下》许凯、李一铜《大唐女儿行》袁冰妍、成毅《琉璃美人煞》靳东、蓝盈莹《精英律师》白宇、郑湫泓《蓬莱间》黄晓明、谭卓《危机先生》宋茜、宋威龙《下一站是幸福》朱一龙、毛晓彤《盗墓笔记重启之极海听雷》 收起全文d",372,剧扒皮,260,840,今天18:11
#迪丽热巴 蓝色人鱼裙#迪丽热巴出席cosmo时尚盛典，美哭了  cr克里森 L溪又斜山又遮的微博视频 ??,303,溪又斜山又遮,111,1528,53分钟前
#迪丽热巴 蓝色人鱼裙# 天呐！！！快来看！！我的美人鱼天冷快来我抱抱@Dear-迪丽热巴 心动了！#cosmo时尚盛典# La帥比姚的微博视频 ??,22,a帥比姚,19,272,24分钟前
迪丽热巴 蓝色人鱼裙亮相COSMO盛典 @Dear-迪丽热巴 最近的作品三生三世枕上书和电影日月希望赶快和大家见面！ L追星蜀黍的微博视频 ??,125,追星蜀黍,124,806,59分钟前
#迪丽热巴蓝色曳地礼裙# COSMO盛典造型出来了，美丽动人 ??,38,布加迪迪畏,258,396,今天18:20
@Dear-迪丽热巴 亮相#COSMO时尚美丽盛典# ，她选择了一袭蓝色的亮片裙，将身段凸显得刚刚好，像是刚刚出落地面的美人鱼，华光溢彩，太美啦！#迪丽热巴# 迪丽热巴  L吉良先生的微博视频 ??,32,吉良先生,25,270,23分钟前
#迪丽热巴 蓝色人鱼裙#迪丽热巴蓝色礼裙，迪丽热巴这也太美了，这身材让人也太柠檬了?? ??,111,娱乐小Jio,106,640,52分钟前
#迪丽热巴 蓝色人鱼裙# 迪丽热巴 一袭蓝色人鱼裙，搭配耀眼的配饰，出现在COSMO时尚盛典上，靓丽夺目#cosmo时尚盛典# ??,252,时尚掌门,202,975,18分钟前
迪丽热巴 x COSMO时尚美丽盛典，身着Jenny Packham蓝色曳地礼裙戴水晶流苏发带，宛如出水的美人鱼 婀娜多姿 明媚动人  #迪丽热巴 蓝色人鱼裙# ??,161,Maissen-H,176,1740,今天18:54
迪丽热巴 / #迪丽热巴 蓝色人鱼裙# ??????Cosmo红毯@Dear-迪丽热巴 ??,605,pieceofJune0603·迪丽热巴,815,1777,33分钟前
